fc_destination_code,proxy,uvac_destination,number_of_nights,offset
MIL,US,LIN,2,135
MIL,US,LIN,2,137
MIL,US,LIN,2,139
MIL,US,LIN,2,141
MIL,US,LIN,2,143
MIL,US,LIN,2,145
MIL,US,LIN,2,147
MIL,US,LIN,2,149
MIL,US,LIN,2,151
MIL,US,LIN,2,153
MIL,US,LIN,2,155
MIL,US,LIN,2,157
MIL,US,LIN,2,159
MIL,US,LIN,2,161
MIL,US,LIN,2,163
MIL,US,LIN,2,193
MIL,US,LIN,2,223
MIL,US,LIN,2,253
MIL,US,LIN,2,283
MIL,US,LIN,2,313
MIL,US,LIN,2,343
MIL,US,LIN,2,373
MIL,US,LIN,2,403
LIR,US,LIR,6,7
LIR,US,LIR,6,13
LIR,US,LIR,6,19
LIR,US,LIR,6,25
LIR,US,LIR,6,31
LIR,US,LIR,6,37
LIR,US,LIR,6,43
LIR,US,LIR,6,49
LIR,US,LIR,6,55
LIR,US,LIR,6,61
LIR,US,LIR,6,67
LIR,US,LIR,6,73
LIR,US,LIR,6,79
LIR,US,LIR,6,85
LIR,US,LIR,6,91
LIR,US,LIR,6,97
LIR,US,LIR,6,103
LIR,US,LIR,6,109
LIR,US,LIR,6,115
LIR,US,LIR,6,121
LIR,US,LIR,6,127
LIR,US,LIR,6,133
LIR,US,LIR,6,139
LIR,US,LIR,6,145
LIR,US,LIR,6,151
LIR,US,LIR,6,157
LIR,US,LIR,6,163
LIR,US,LIR,6,169
LIR,US,LIR,6,175
LIR,US,LIR,6,181
LIR,US,LIR,6,187
LIR,US,LIR,6,193
LIR,US,LIR,6,199
LIR,US,LIR,6,205
LIR,US,LIR,6,211
LIR,US,LIR,6,217
LIR,US,LIR,6,223
LIR,US,LIR,6,229
LIR,US,LIR,6,235
LIR,US,LIR,6,241
LIR,US,LIR,6,247
LIR,US,LIR,6,253
LIR,US,LIR,6,259
LIR,US,LIR,6,265
LIR,US,LIR,6,271
LIR,US,LIR,6,277
LIR,US,LIR,6,283
LIR,US,LIR,6,289
LIR,US,LIR,6,295
LIR,US,LIR,6,301
LIR,US,LIR,6,307
LIR,US,LIR,6,313
LIR,US,LIR,6,319
LIR,US,LIR,6,325
LIR,US,LIR,6,331
LIR,US,LIR,6,337
LIR,US,LIR,6,343
LIR,US,LIR,6,349
LIR,US,LIR,6,355
LIR,US,LIR,6,361
LIR,US,LIR,6,367
LIR,US,LIR,6,373
LON,US,LON,5,7
LON,US,LON,5,12
LON,US,LON,5,17
LON,US,LON,5,22
LON,US,LON,5,27
LON,US,LON,5,32
LON,US,LON,5,37
LON,US,LON,5,42
LON,US,LON,5,47
LON,US,LON,5,52
LON,US,LON,5,57
LON,US,LON,5,62
LON,US,LON,5,67
LON,US,LON,5,72
LON,US,LON,5,77
